,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Phase,Phase,Phase,Phase
,afLeftThigh,afLeftKnee,afLeftAnkle,afLeftFoot,afRightThigh,afRightKnee,afRightAnkle,afRightFoot,pfWaist,pfLeftFemurHead,pfLeftKnee,pfLeftAnkle,pfRightFemurHead,pfRightKnee,pfRightAnkle,LeftArm,LeftHip,LeftKnee,LeftAnkle,LeftToe,RightArm,RightHip,RightKnee,RightAnkle,RightToe,RL - T4,RL - RunLab,LL - T4,LL - RunLab
22,1.9,1.96,13.4,13.48,4.69,2.58,13.28,350.34,4.57,0.07,3.35,2.86,6.63,4.9,1.51,30.5,166.56,122.3,121.01,11.26,46.43,154.36,159.53,76.36,15.77,Initial Strike,Initial Strike,Midswing,Midswing
23,0.98,3.38,12.74,10.29,4.93,1.49,11.5,351.31,3.57,0.5,1.02,9.39,7.58,5.36,1.4,31.91,163.88,113.81,115.86,6.52,45.62,156.19,159.18,79.96,15.75,Loading Response,Loading Response,Midswing,Midswing
24,0.07,5.74,9.6,4.59,4.98,1.71,8.09,357.94,1.72,0.08,2.34,6.1,8.29,6.3,4.83,33.37,160.29,103.13,111.37,6.98,43.59,156.35,156.19,81.62,8.49,Loading Response,Loading Response,Midswing,Midswing
25,0.08,4.12,6.07,1.44,5.17,0.24,3.01,358.99,1.57,0.83,3,104.69,6.83,2.79,2.56,35.96,157.24,97.12,111.25,7.7,42.77,157.65,153.12,80.59,8.66,Loading Response,Loading Response,Midswing,Midswing
26,0.18,0.24,5.4,2.26,6.25,0.76,2.51,1.66,2.38,0.92,,,,,,37.95,151.77,90.59,109.38,5.6,40.29,158.35,148.29,79.14,7.03,Loading Response,Loading Response,Midswing,Midswing
27,1.03,7.36,7.8,8.88,5.77,0.79,3.92,2.14,,1.23,,,,,8.64,39.81,148.63,84.41,105.31,10.34,38.4,157.96,142.22,76.59,3.49,Loading Response,Loading Response,Midswing,Midswing
28,2,13.81,7.33,15.59,5.91,0.99,0.23,2.54,,0.91,,,5.67,2.05,7.92,41.39,144.3,79.93,101.08,7.64,35.65,160.61,141.91,73.79,2.43,Loading Response,Loading Response,Midswing,Midswing
29,2.24,16.16,10.31,14.17,6.28,0.32,0.62,1.98,9.33,1.61,0.5,27.69,5.83,2.08,11,43.35,140.94,77.87,99.19,12.41,33.39,159.41,138.14,70.25,1.82,Loading Response,Loading Response,Midswing,Midswing
30,2.15,15.59,10.5,11.71,6.05,1.05,1.32,2.24,6.65,1.96,0.17,4.64,7.09,0.9,14.14,44.65,139,77.03,96.01,2.94,31.11,158.32,136.62,69.09,1.84,Midstance,Midstance,Midswing,Midswing
31,1.99,12.41,8.31,10.66,6.02,1.84,2.88,2.65,4.82,1.25,1.23,1.05,7.99,0.88,10.01,46.43,138.56,79.97,,,28.71,159.02,135.36,68.93,1.77,Terminal Stance,Terminal Stance,Midswing,Midswing
32,1.62,6.74,3.05,12.73,6.04,1.02,0.9,2.45,4.4,1.34,1.14,7.95,6.37,1.9,12.5,47.03,135.26,81.71,92.57,15.26,26.89,160.56,134.58,66.58,1.35,Terminal Stance,Terminal Stance,Midswing,Midswing
33,1.52,2.87,4.8,11.62,7.35,0.46,0.67,2.06,3.61,1.12,0.76,2.86,6.58,1.56,13.27,48.67,,,89.9,8.08,25.36,161.39,132.35,66.69,4.61,Terminal Stance,Terminal Stance,Midswing,Midswing
