,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Phase,Phase,Phase,Phase
,afLeftThigh,afLeftKnee,afLeftAnkle,afLeftFoot,afRightThigh,afRightKnee,afRightAnkle,afRightFoot,pfWaist,pfLeftFemurHead,pfLeftKnee,pfLeftAnkle,pfRightFemurHead,pfRightKnee,pfRightAnkle,LeftArm,LeftHip,LeftKnee,LeftAnkle,LeftToe,RightArm,RightHip,RightKnee,RightAnkle,RightToe,RL - T4,RL - RunLab,LL - T4,LL - RunLab
21,5.06,7.25,1.39,9.06,1.06,0.25,23.8,1.03,0.35,0.47,5.55,6.22,2.53,1.73,1.18,7.3,,,88.77,23.83,46.92,142.5,137.58,75.45,4.24,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
22,4.84,7.04,0.63,10.22,1.47,0.35,23.68,352.28,2.19,0.54,5.92,0.65,2.4,2.23,3.15,7.9,,,91.78,17.59,47.21,145.83,146.63,74.07,0.92,Terminal Swing,Midswing,Toe Off,Toe Off
23,4.33,6.41,0.13,14.91,1.53,0.02,21.86,348.39,2.8,0.5,7.49,1.38,3.12,1.82,2.21,8.47,,,91.63,14.66,47.32,147.53,151.86,75.5,3.27,Terminal Swing,Midswing,Initial Swing,Initial Swing
24,3.9,4.97,6.97,17.65,2.54,0.56,23.21,348.44,1.81,0.59,7.79,2.3,2.6,2.93,2.41,6.91,,,89.69,7.69,46.93,148.53,154.1,74.02,0.2,Terminal Swing,Terminal Swing,Initial Swing,Initial Swing
25,3.19,4.86,12.07,28.19,2.39,0.55,19.45,351.05,1.1,1.04,7.37,0.74,2.74,2.88,2.15,6.97,165.67,120.69,88.94,8.58,46.27,149.29,153.33,75.66,2.9,Initial Strike,Initial Strike,Initial Swing,Initial Swing
26,3.16,3.46,19.56,37.28,2.7,0.91,19.05,357.3,1.43,0.55,8.58,0.64,3.34,2.6,3.16,6.43,162.75,112.38,88.15,15.52,45.83,151.33,151.66,80.73,3.65,Loading Response,Loading Response,Initial Swing,Midswing
27,2.55,2.44,23.05,42.88,2.5,0.03,18.67,1.84,1,0.34,8.95,4.2,3.42,2.44,3.68,2.96,,,82.82,8.35,43.63,151.74,148.12,82.24,0.99,Loading Response,Loading Response,Midswing,Midswing
28,1.8,0.55,26.37,42.87,2.68,0.54,18.04,2.39,1.39,0.5,6.69,3.97,3.31,2.24,3.94,0.69,,,80.95,8.56,41.43,150.86,142.94,79.96,1.18,Loading Response,Loading Response,Midswing,Midswing
29,1.34,1.28,27.57,43.5,2.68,0.57,17.09,4.06,1.72,0.84,7.4,2.07,3.52,2.17,1.64,5.35,,,79.42,9.56,39.01,149.84,138.65,77.15,3.8,Loading Response,Loading Response,Midswing,Midswing
30,0.52,3.04,27.82,41.12,3.52,0.06,16.2,3.25,1.38,0.35,6.44,7.33,3.84,1.73,1.6,10.28,153.53,90.12,77.51,5.78,35.98,151.39,137.53,75.25,2.99,Loading Response,Loading Response,Midswing,Midswing
